,Age,Income,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
210,57,155,1,88.80000000000001,1,0,0,0,0,1,0
211,54,94,1,22.799999999999997,2,0,0,0,0,0,0
212,38,92,2,0.0,1,249,0,0,0,1,1
213,27,125,2,7.199999999999999,1,0,0,0,0,0,0
214,39,74,3,36.0,1,0,0,0,0,0,0
215,44,72,3,3.5999999999999996,3,0,0,0,0,1,0
216,56,61,1,26.400000000000002,3,0,0,0,0,1,1
217,32,25,2,3.5999999999999996,1,0,0,0,0,0,1
218,45,83,2,20.4,2,0,0,0,0,1,0
219,26,104,3,30.0,1,0,0,0,0,0,0
220,55,41,3,12.0,3,0,0,0,0,1,0
221,52,58,4,21.6,3,91,0,0,0,0,0
222,39,93,1,18.0,3,0,0,0,0,0,1
223,24,39,2,20.4,2,0,0,0,0,0,0
224,47,148,2,90.0,1,0,0,0,1,1,1
225,47,53,4,22.799999999999997,3,98,0,1,1,0,1
226,48,71,2,20.4,1,145,0,0,0,0,1
227,47,92,1,33.599999999999994,2,0,0,0,0,1,0
228,35,61,4,25.200000000000003,3,0,0,0,0,1,0
229,46,38,3,30.0,2,135,0,0,0,0,0
230,62,58,4,20.4,1,0,0,0,0,1,0
231,26,80,1,9.600000000000001,2,150,0,0,0,0,0
232,38,71,4,21.6,3,0,0,0,0,1,0
233,43,89,3,6.0,3,0,0,0,0,1,1
234,62,83,1,21.6,3,0,0,0,0,1,0
235,57,28,3,2.4000000000000004,1,0,0,0,0,1,1
236,28,52,4,20.4,2,0,0,0,0,0,0
237,51,70,1,14.399999999999999,1,169,0,0,0,0,0
238,48,71,1,16.799999999999997,3,0,0,0,0,0,1
239,41,75,1,44.400000000000006,3,280,0,0,0,0,0
240,65,170,3,94.80000000000001,3,99,1,0,1,1,0
241,41,78,4,9.600000000000001,1,78,0,0,0,1,0
242,35,25,2,12.0,2,0,0,0,0,0,0
243,38,60,2,7.199999999999999,3,0,0,0,0,1,1
244,53,120,4,32.400000000000006,2,111,1,1,1,1,0
245,55,99,2,16.799999999999997,1,264,0,0,0,1,1
246,26,55,3,31.200000000000003,3,113,0,0,0,0,1
247,30,29,3,12.0,2,117,0,0,0,0,0
248,54,170,2,74.4,2,325,1,0,0,1,0
249,65,53,3,26.400000000000002,1,0,0,0,0,0,1
250,47,138,1,0.0,1,0,0,0,0,0,0
251,65,134,3,46.8,3,121,1,0,0,1,0
252,66,42,2,8.399999999999999,3,138,0,0,0,0,1
253,26,99,4,27.599999999999998,3,0,0,0,0,0,1
254,66,18,3,6.0,1,0,0,0,0,0,1
255,35,24,4,3.5999999999999996,1,0,0,0,0,1,0
256,56,55,1,16.799999999999997,1,77,0,0,0,1,0
257,51,58,1,0.0,1,0,0,0,0,0,1
258,42,111,2,14.399999999999999,3,251,1,0,0,1,0
259,49,33,1,3.5999999999999996,3,0,0,0,1,1,1
260,27,74,4,21.6,2,112,0,0,0,1,1
261,45,38,2,8.399999999999999,1,0,0,0,0,0,0
262,49,23,4,7.199999999999999,3,98,0,1,0,0,0
263,63,61,2,18.0,1,0,0,0,0,1,0
264,47,81,1,34.8,1,138,0,0,0,0,0
265,64,129,1,30.0,1,0,0,0,0,1,0
266,43,33,1,9.0,3,0,0,0,0,0,0
267,60,63,4,26.400000000000002,1,0,0,0,0,1,0
268,40,70,4,16.799999999999997,2,0,0,0,0,1,0
269,29,45,4,2.4000000000000004,1,158,0,0,0,1,1
270,41,65,3,6.0,3,0,0,0,0,1,0
271,30,74,4,26.400000000000002,1,0,0,1,0,0,1
272,49,50,4,21.6,3,0,0,1,0,0,0
273,30,22,4,6.0,3,109,0,0,0,1,0
274,29,30,4,12.0,3,0,0,0,0,0,0
275,50,21,4,12.0,1,0,0,0,0,1,0
276,39,155,2,46.8,1,0,0,0,0,1,0
277,33,64,4,25.200000000000003,3,164,0,0,0,1,0
278,57,65,4,31.200000000000003,3,0,0,0,0,0,1
279,34,71,4,8.399999999999999,3,0,0,0,0,1,0
280,61,40,3,6.0,2,0,0,1,0,1,0
281,44,69,3,6.0,3,0,0,0,0,1,0
282,40,69,3,27.96,2,0,0,0,0,0,0
283,51,45,3,7.199999999999999,2,131,0,0,0,1,0
284,37,62,3,8.399999999999999,2,0,0,0,0,0,1
285,42,24,3,12.0,2,0,0,0,0,1,1
286,51,80,1,58.800000000000004,1,0,0,0,0,0,0
287,43,8,3,8.040000000000001,2,88,0,0,0,1,0
288,30,38,4,9.600000000000001,1,129,0,0,0,1,1
289,45,93,4,31.200000000000003,3,0,0,0,0,0,0
290,35,55,1,24.0,1,0,0,0,0,1,0
291,60,64,2,20.4,3,0,0,0,0,0,1
292,34,122,1,0.0,1,0,0,0,0,1,0
293,55,70,3,16.799999999999997,3,0,0,0,0,1,0
294,43,81,2,38.400000000000006,1,0,0,0,0,0,0
295,41,159,1,66.0,3,0,1,0,1,1,0
296,34,70,4,15.600000000000001,1,0,0,1,0,0,0
297,65,150,2,82.80000000000001,1,196,0,0,0,0,0
298,45,152,2,90.0,1,0,0,0,0,1,0
299,48,22,1,1.2000000000000002,1,0,0,0,0,0,0
300,60,22,1,15.600000000000001,1,123,0,0,0,1,0
301,55,79,3,9.600000000000001,1,0,0,0,0,1,1
302,42,33,1,16.799999999999997,3,0,0,0,0,1,0
303,32,128,2,51.96,1,0,0,0,1,1,1
304,62,91,1,45.599999999999994,1,0,0,1,0,1,0
305,57,39,4,10.8,1,0,0,0,0,1,1
306,52,121,1,87.6,1,167,0,0,0,1,0
307,36,21,1,8.040000000000001,3,0,0,1,0,1,0
308,34,41,3,27.599999999999998,1,0,0,0,0,0,1
309,63,45,2,8.399999999999999,3,0,0,0,0,1,0
310,24,51,3,3.5999999999999996,3,0,0,0,0,1,0
311,57,165,1,19.200000000000003,2,0,1,0,0,1,0
312,40,119,2,50.400000000000006,2,0,1,0,0,1,0
313,27,110,4,21.6,3,190,0,0,0,1,0
314,65,20,3,8.399999999999999,2,0,0,0,0,0,1
315,60,64,1,9.600000000000001,2,248,0,0,0,0,0
316,44,101,3,52.800000000000004,2,82,1,0,0,0,0
317,63,101,1,46.8,1,0,1,1,1,1,0
318,59,99,1,52.800000000000004,1,0,1,0,0,0,0
319,56,158,4,73.19999999999999,1,0,1,0,0,0,0
320,54,89,1,22.799999999999997,2,0,0,0,0,1,1
321,52,80,1,15.600000000000001,3,0,0,0,1,1,1
322,60,49,3,6.0,2,0,0,0,0,1,1
323,28,191,1,75.96000000000001,1,0,0,0,0,1,0
324,54,78,4,12.0,2,0,0,0,0,1,0
325,32,28,3,12.0,1,0,0,0,0,0,0
326,59,42,1,9.600000000000001,2,0,0,0,0,1,0
327,63,140,1,30.0,1,0,0,0,0,0,0
328,48,45,1,15.600000000000001,2,0,0,0,0,1,0
329,56,122,2,3.5999999999999996,1,360,0,0,1,1,1
330,36,65,3,31.200000000000003,2,0,0,0,0,1,0
331,57,68,1,16.799999999999997,3,0,0,0,0,1,0
332,39,89,4,16.799999999999997,2,0,0,0,0,0,0
333,59,91,1,31.200000000000003,1,0,0,0,0,1,1
334,31,55,4,24.0,2,185,0,0,0,1,0
335,43,118,2,39.599999999999994,1,0,0,0,0,0,1
336,35,22,1,8.040000000000001,3,103,0,0,0,0,0
337,54,63,3,16.799999999999997,3,138,0,0,0,1,1
338,51,12,4,6.0,2,78,0,1,0,1,0
339,44,50,3,32.400000000000006,2,0,0,0,0,1,0
340,25,43,2,19.200000000000003,3,0,0,1,1,1,1
341,40,173,4,79.19999999999999,1,0,1,0,1,1,1
342,26,60,2,36.0,1,132,1,0,0,0,0
343,39,113,1,12.0,3,0,0,1,0,1,0
344,28,155,4,63.599999999999994,2,0,1,0,0,1,0
345,52,91,4,12.0,2,0,0,0,0,0,1
346,53,55,4,13.200000000000001,2,0,0,0,0,1,0
347,43,71,3,3.5999999999999996,3,0,0,0,0,0,1
348,56,24,2,4.800000000000001,3,88,0,0,0,0,0
349,38,42,1,24.0,2,81,0,0,0,1,0
350,30,141,2,51.96,1,0,0,0,0,1,0
351,32,32,1,22.799999999999997,3,0,0,0,0,1,0
352,35,55,4,15.600000000000001,1,0,0,0,0,0,0
353,43,153,2,90.0,1,0,0,0,0,1,0
354,58,113,2,16.799999999999997,1,270,0,0,0,0,1
355,25,30,2,20.4,2,0,0,0,0,0,0
356,54,29,3,12.0,3,148,0,0,0,0,1
357,50,35,1,3.5999999999999996,3,0,0,0,0,1,0
358,32,98,2,24.0,2,175,0,0,0,1,0
359,63,30,2,12.0,3,159,0,0,0,1,0
360,31,58,2,30.0,1,0,0,0,0,0,1
361,36,25,4,12.0,1,147,0,0,0,0,0
362,58,19,4,8.399999999999999,1,0,0,0,0,0,0
363,56,44,4,8.399999999999999,2,174,0,0,0,1,0
364,49,20,4,12.0,1,111,0,0,0,1,1
365,30,98,2,37.2,1,220,0,0,0,1,0
366,33,90,3,19.200000000000003,1,0,0,0,0,1,0
367,45,61,3,8.399999999999999,1,0,0,0,0,0,0
368,30,40,4,24.0,2,0,0,0,0,1,0
369,47,38,2,25.200000000000003,3,0,0,0,0,0,0
370,25,28,2,20.4,2,0,0,0,0,0,0
371,63,34,1,18.0,3,0,0,0,0,1,1
372,55,73,2,27.599999999999998,3,0,0,0,0,1,1
373,65,133,4,24.0,1,0,1,0,0,0,1
374,44,53,1,2.4000000000000004,1,0,0,0,0,1,0
375,51,21,4,7.199999999999999,3,0,0,0,0,1,1
376,35,40,3,10.8,1,0,0,0,0,1,0
377,30,41,4,20.4,2,0,0,0,0,1,0
378,31,82,4,21.6,2,0,0,0,0,1,0
379,54,100,4,40.8,3,0,1,0,0,0,0
380,45,155,1,84.0,1,0,0,0,0,1,1
381,45,45,1,2.4000000000000004,1,0,0,0,0,1,0
382,58,9,3,3.5999999999999996,3,0,0,0,0,0,1
383,54,48,4,21.6,3,0,0,0,0,1,0
384,53,18,4,1.2000000000000002,3,109,0,1,1,1,1
385,33,80,4,40.8,1,0,0,0,0,1,1
386,60,64,2,33.599999999999994,1,0,0,0,0,0,0
387,50,29,4,1.2000000000000002,1,0,0,0,0,0,0
388,26,48,3,8.399999999999999,2,0,0,0,0,1,0
389,54,23,2,4.800000000000001,1,0,0,0,0,0,0
390,28,84,4,2.4000000000000004,1,0,0,0,0,1,1
391,36,179,3,79.19999999999999,1,0,1,0,0,1,0
392,29,30,4,18.0,2,112,0,0,0,0,1
393,54,93,1,58.800000000000004,1,133,0,0,1,1,1
394,55,39,2,22.799999999999997,2,0,0,0,0,0,0
395,61,60,3,6.0,2,182,0,0,0,0,0
396,36,133,1,45.599999999999994,1,290,0,1,1,1,1
397,45,125,1,28.799999999999997,1,0,0,0,0,0,0
398,64,58,1,21.6,3,0,0,0,0,1,0
399,60,89,2,33.599999999999994,1,0,0,0,0,1,0
400,49,82,1,32.04,2,125,0,0,0,1,0
401,47,110,2,39.599999999999994,1,0,0,0,0,1,1
402,60,54,4,27.599999999999998,3,0,0,1,0,0,0
403,45,89,4,22.799999999999997,3,0,0,0,0,1,0
404,32,42,3,27.599999999999998,1,0,0,0,0,1,0
405,52,41,3,22.799999999999997,2,0,0,0,0,0,1
406,35,38,4,12.0,2,124,0,0,0,1,0
407,40,85,2,4.800000000000001,1,0,0,0,0,1,0
408,53,83,4,12.0,2,0,0,0,0,1,0
409,27,33,4,12.0,3,0,0,0,0,0,0
410,58,50,4,25.200000000000003,1,0,0,0,0,0,1
411,47,58,4,43.2,3,0,0,0,0,1,1
412,28,115,4,37.2,2,0,1,0,0,0,0
413,46,145,2,75.6,1,0,0,1,1,1,0
414,43,161,2,90.0,1,0,0,0,0,0,0
415,56,38,1,2.4000000000000004,1,0,0,0,0,0,0
416,28,28,4,9.600000000000001,1,0,0,0,0,1,0
417,42,75,3,27.96,1,0,0,0,0,0,1
418,32,35,3,15.600000000000001,1,116,0,0,0,0,1
419,62,24,2,12.0,1,116,0,0,0,0,1
420,37,78,4,1.2000000000000002,2,0,0,0,0,1,0
421,51,113,1,15.600000000000001,3,161,0,0,0,1,0
422,39,75,3,25.200000000000003,1,224,0,0,0,1,0
423,43,91,1,68.4,1,0,0,0,0,1,0
424,52,31,4,2.4000000000000004,1,141,0,0,0,1,1
425,30,45,1,21.6,2,0,0,0,0,1,0
426,52,80,3,9.600000000000001,1,0,0,0,0,0,0
427,61,50,3,16.799999999999997,3,112,0,0,0,1,0
428,36,31,4,12.0,2,0,0,1,0,1,0
429,58,113,2,45.599999999999994,2,119,1,0,1,1,1
430,47,29,4,7.199999999999999,1,0,0,0,0,1,0
431,64,59,2,18.0,1,139,0,0,0,1,0
432,52,43,1,15.600000000000001,2,0,0,1,0,1,0
433,58,122,1,36.0,3,115,1,0,0,1,0
434,48,29,1,12.0,1,0,0,0,0,0,0
435,64,91,2,0.0,3,0,0,0,0,1,1
436,58,65,3,26.400000000000002,3,0,0,0,0,1,0
437,47,22,1,12.0,1,0,0,0,0,0,1
438,49,71,1,16.799999999999997,3,0,0,0,0,0,0
439,31,60,4,24.0,2,0,0,0,0,1,1
440,61,60,3,24.0,3,0,0,0,0,1,0
441,51,69,1,3.5999999999999996,1,0,0,0,0,1,1
442,28,48,2,21.0,3,89,0,0,0,1,0
443,39,21,3,2.4000000000000004,2,0,0,0,0,0,0
444,54,53,4,33.599999999999994,2,0,0,1,0,0,0
445,50,29,3,10.8,3,0,0,0,0,0,0
446,30,60,4,26.400000000000002,2,0,0,0,0,1,0
447,64,42,3,6.0,2,116,0,0,0,1,0
448,29,69,3,3.5999999999999996,3,0,0,0,0,0,0
449,48,20,1,12.0,1,0,0,0,0,1,1
450,60,141,2,25.200000000000003,1,0,0,0,0,1,1
451,55,81,2,44.400000000000006,1,0,0,1,0,0,0
452,29,183,3,99.60000000000001,3,0,1,0,0,1,0
453,48,149,2,66.0,2,0,1,1,1,1,0
454,43,83,4,43.2,3,0,1,0,0,0,1
455,66,35,1,22.799999999999997,2,172,0,0,0,1,0
456,25,13,2,10.8,3,0,0,0,0,1,0
457,45,39,1,28.799999999999997,1,0,0,0,0,0,1
458,34,21,1,6.0,3,0,0,0,0,1,0
459,48,10,2,8.399999999999999,3,0,0,0,0,1,1
460,32,84,4,21.6,2,0,0,0,0,0,0
461,50,30,4,1.2000000000000002,1,161,0,0,0,1,1
462,43,31,4,3.5999999999999996,1,156,0,0,0,1,0
463,60,114,2,82.80000000000001,1,0,0,0,0,1,0
464,43,152,3,73.19999999999999,2,0,1,0,0,0,0
465,60,53,1,9.600000000000001,2,0,0,1,0,0,1
466,64,24,4,4.800000000000001,2,78,0,0,0,1,0
467,44,150,2,39.599999999999994,1,0,0,0,0,0,1
468,54,68,3,19.200000000000003,3,0,0,0,0,1,1
469,33,53,1,14.399999999999999,1,0,0,0,0,0,1
470,56,173,1,55.199999999999996,2,88,1,0,1,1,0
471,29,30,3,12.0,2,0,0,0,0,0,0
472,25,113,2,2.4000000000000004,1,0,0,0,0,1,1
473,60,15,1,9.600000000000001,2,0,0,0,0,1,0
474,55,84,2,44.400000000000006,1,304,0,1,0,1,0
475,39,88,4,16.799999999999997,2,0,0,0,0,1,1
476,37,43,3,33.599999999999994,1,0,0,0,0,1,0
477,53,43,2,25.200000000000003,3,0,0,0,1,1,1
478,34,90,2,32.400000000000006,1,0,0,0,0,1,0
479,42,34,4,3.5999999999999996,1,104,0,1,0,1,0
480,60,38,4,15.600000000000001,1,0,0,0,0,1,0
481,50,173,1,12.0,1,0,0,0,0,1,1
482,41,160,2,96.0,1,0,0,0,0,1,0
483,25,44,4,7.199999999999999,2,0,0,0,0,1,1
484,50,83,2,4.800000000000001,3,0,0,0,0,1,0
485,48,94,4,31.200000000000003,3,0,0,0,0,1,0
486,32,43,1,25.200000000000003,3,0,0,0,0,0,1
487,50,42,3,20.4,2,0,0,0,0,1,0
488,59,34,2,3.5999999999999996,1,0,0,0,0,0,0
